feature,mean_abs_shap
cat__PATTERN_USE_New user,0.025247892
cat__HOUSEHOLD_HEAD_SEX_1,0.023462614
cat__SMOKE_CIGAR_No,0.022196673
cat__MONTH_USE_CURRENT_METHOD_22,0.021402761
cat__MONTH_USE_CURRENT_METHOD_28,0.021155901
cat__HOUSEHOLD_HEAD_SEX_Male,0.020882426
cat__LAST_METHOD_DISCONTINUED_Condom,0.019814571
cat__WANT_LAST_PREGNANCY_Yes,0.019616324
cat__HUSBAND_AGE_51,0.019600559
cat__EDUC_LEVEL_Secondary,0.018672777
cat__HUSBAND_AGE_32,0.017038705
cat__MONTH_USE_CURRENT_METHOD_19,0.01543244
cat__MONTH_USE_CURRENT_METHOD_30,0.01508955
cat__DESIRE_FOR_MORE_CHILDREN_Undecided,0.014312634
cat__SMOKE_CIGAR_1,0.013955489
cat__MONTH_USE_CURRENT_METHOD_12,0.012342902
cat__REASON_DISCONTINUED_Desire for child,0.012324113
cat__ETHNICITY_Bisaya,0.011500361
cat__MONTH_USE_CURRENT_METHOD_20,0.010946611
cat__PARTNER_EDUC_Secondary,0.010750285
cat__REASON_DISCONTINUED_Access issues,0.010630731
cat__RESIDING_WITH_PARTNER_1,0.009236658
cat__EDUC_LEVEL_No Education,0.007315833
cat__MONTH_USE_CURRENT_METHOD_33,0.007265315
cat__HUSBAND_AGE_38,0.0069027883
cat__RESIDING_WITH_PARTNER_Yes,0.006060469
cat__MONTH_USE_CURRENT_METHOD_36,0.006031464
cat__CONTRACEPTIVE_METHOD_Implants,0.0058068642
cat__MONTH_USE_CURRENT_METHOD_5,0.0053422074
cat__HUSBAND_AGE_23,0.0048973677
cat__HUSBAND_AGE_24,0.0019928808
cat__OCCUPATION_83,0.0
cat__OCCUPATION_92,0.0
cat__OCCUPATION_91,0.0
cat__OCCUPATION_9,0.0
cat__REASON_DISCONTINUED_  ,0.0
cat__LAST_METHOD_DISCONTINUED_9,0.0
cat__LAST_METHOD_DISCONTINUED_8,0.0
cat__OCCUPATION_94,0.0
cat__OCCUPATION_93,0.0
cat__REGION_4,0.0
cat__REGION_5,0.0
cat__REGION_6,0.0
cat__REGION_3,0.0
cat__REGION_11,0.0
cat__REGION_13,0.0
cat__REGION_12,0.0
cat__REGION_15,0.0
cat__REGION_16,0.0
cat__REGION_17,0.0
cat__REGION_14,0.0
cat__OCCUPATION_31,0.0
cat__OCCUPATION_32,0.0
cat__OCCUPATION_33,0.0
cat__OCCUPATION_34,0.0
cat__OCCUPATION_35,0.0
cat__OCCUPATION_41,0.0
cat__OCCUPATION_42,0.0
cat__OCCUPATION_43,0.0
cat__OCCUPATION_44,0.0
cat__OCCUPATION_51,0.0
cat__OCCUPATION_52,0.0
cat__OCCUPATION_53,0.0
cat__OCCUPATION_95,0.0
cat__HUSBANDS_EDUC_ ,0.0
cat__OCCUPATION_25,0.0
cat__OCCUPATION_99,0.0
cat__MARITAL_STATUS_1,0.0
cat__HUSBAND_AGE_19,0.0
cat__HUSBAND_AGE_18,0.0
cat__HUSBAND_AGE_17,0.0
cat__HUSBAND_AGE_16,0.0
cat__HUSBAND_AGE_  ,0.0
cat__HUSBANDS_EDUC_5,0.0
cat__HUSBANDS_EDUC_4,0.0
cat__HUSBANDS_EDUC_3,0.0
cat__OCCUPATION_96,0.0
cat__RESIDING_WITH_PARTNER_ ,0.0
cat__MARITAL_STATUS_5,0.0
cat__MARITAL_STATUS_2,0.0
cat__MARITAL_STATUS_3,0.0
cat__MARITAL_STATUS_0,0.0
cat__OCCUPATION_26,0.0
