feature,importance_mean,importance_std
CONTRACEPTIVE_METHOD,0.009200000000000009,0.003249615361854387
OCCUPATION,0.008400000000000008,0.002653299832284322
HUSBAND_AGE,0.006000000000000005,0.005796550698475781
HUSBANDS_EDUC,0.0040000000000000036,0.0028284271247461927
RELIGION,0.0032000000000000028,0.0027129319932501094
ETHNICITY,0.0032000000000000028,0.0024000000000000024
MARITAL_STATUS,0.0020000000000000018,0.0017888543819998333
REASON_DISCONTINUED,0.0016000000000000014,0.0014966629547095778
DESIRE_FOR_MORE_CHILDREN,0.001200000000000001,0.00271293199325011
LAST_METHOD_DISCONTINUED,0.001200000000000001,0.0020396078054371156
EDUC_LEVEL,0.00040000000000000034,0.0029393876913398165
PARTNER_EDUC,0.00040000000000000034,0.0014966629547095778
TOLD_ABT_SIDE_EFFECTS,0.0,0.0
LAST_SOURCE_TYPE,0.0,0.0
AGE,-0.00040000000000000034,0.0046303347611160945
RESIDING_WITH_PARTNER,-0.0028000000000000026,0.0016000000000000014
WANT_LAST_CHILD,-0.0040000000000000036,0.0
WANT_LAST_PREGNANCY,-0.005600000000000005,0.0008000000000000007
PARITY,-0.007200000000000007,0.004995998398718723
HSBND_DESIRE_FOR_MORE_CHILDREN,-0.007200000000000007,0.000979795897113272
MONTH_USE_CURRENT_METHOD,-0.007600000000000007,0.006374950980203697
HOUSEHOLD_HEAD_SEX,-0.008400000000000008,0.0014966629547095778
SMOKE_CIGAR,-0.027200000000000023,0.003487119154832542
PATTERN_USE,-0.029600000000000026,0.007200000000000007
REGION,-0.04360000000000004,0.01222456543194891
